teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
Texas A&M,G,77,Senior,3,Rylan Griffen,24,29,751.45,22,45,47,62,0.64317,0.42466,86,4.577816222,0.81,0.909,0.719,0.45,,3.4147376,0.918,2.2319765,0.93,5.6467141,0.949,2.166550284,2.392221291
Texas A&M,G,74,Junior,2,Pop Isaacs,5,30,663.63,10,48,20,65,0.61947,0.39286,47,2.832903877,0.79,0.833,0.497,0.228,,3.1698697,0.903,-0.40483517,0.351,2.76503453,0.777,2.161161767,2.507815107
Florida,G,75,Senior,1,Xaivian Lee,31,31,845.83,12,53,35,106,0.56536,0.27746,100,4.729082676,0.727,0.365,0.782,0.471,,3.7681312,0.939,3.427865,0.985,7.1959962,0.974,1.570110608,2.360880372
Auburn,G,79,Senior,7,Keyshawn Hall,29,29,968.63,56,73,23,144,0.37017,0.39552,150,6.194315683,0.465,0.839,0.925,0.649,,6.0300924,0.993,1.0901162,0.764,7.1202086,0.973,3.448671555,1.399824896
Ole Miss,G,73,Junior,3,Koren Johnson,1,25,240.25,1,11,11,18,0.51667,0.19355,19,3.163371488,0.673,0.189,0.298,0.266,,,,,,,,#N/A,#N/A
LSU,G,78,Senior,3,Max Mackinnon,29,30,954.3,9,59,17,68,0.46113,0.37791,35,1.467043907,0.589,0.785,0.413,0.111,,3.1319897,0.898,0.35555998,0.577,3.48754968,0.837,1.949472588,2.719938942
Tennessee,G,75,Senior,77,Amaree Abram,3,23,259.43,8,8,17,26,0.57576,0.36842,43,6.629919439,0.742,0.747,0.47,0.694,,,,,,,,#N/A,#N/A
Georgia,G,75,Senior,7,Justin Bailey,2,29,365.69,7,13,15,34,0.72277,0.35616,43,4.703437338,0.877,0.697,0.47,0.466,,2.0427318,0.782,0.98384614,0.739,3.02657794,0.801,2.531015461,4.133810143
Texas A&M,G,75,Senior,0,Marcus Hill,27,31,714.49,38,36,32,61,0.24797,0.2459,95,5.318478915,0.316,0.277,0.761,0.539,,2.4084043,0.827,1.3652759,0.823,3.7736802,0.852,2.629836613,3.226782906
Kentucky,G,74,Junior,15,Jaland Lowe,2,9,166.48,3,8,6,16,0.35821,0.20833,17,4.084574724,0.449,0.216,0.286,0.385,,,,,,,,#N/A,#N/A
Vanderbilt,G,80,Junior,8,Tyler Harris,2,30,382.74,19,12,5,50,0.51282,0.2875,62,6.479594503,0.669,0.4,0.593,0.68,,1.0374683,0.615,2.4204894,0.945,3.4579577,0.835,4.414243325,5
Georgia,G,77,Junior,0,Blue Cain,31,31,871.3,48,32,44,110,0.44762,0.31206,170,7.804430162,0.571,0.489,0.954,0.803,,5.3360162,0.986,1.801071,0.885,7.1370872,0.974,2.569971699,2.424713
Auburn,G,75,Junior,21,Blake Muschalek,0,22,108.4,7,4,9,6,0.625,0.2,18,6.642066421,0.794,0.191,0.291,0.696,,,,,,,,#N/A,#N/A
Alabama,G,73,Junior,2,Aden Holloway,26,27,768.88,8,41,17,69,0.54967,0.43373,53,2.757257309,0.712,0.922,0.539,0.219,,7.5233936,0.998,1.0735088,0.758,8.5969024,0.99,1.506119165,1.097191204
Missouri,G,75,Junior,12,Sebastian Mack,9,18,293.91,5,19,16,18,0.27966,0.27273,20,2.721921677,0.352,0.349,0.307,0.213,,-0.51506472,0.312,0.44222018,0.605,-0.07284454,0.417,1.938789081,4.64299134
Texas A&M,G,73,Junior,1,Josh Holloway,0,31,406.1,12,45,24,39,0.26042,0.4,30,2.954937208,0.33,0.849,0.379,0.24,,0.89570034,0.589,1.1285317,0.771,2.02423204,0.699,1.843187888,2.540906214
Ole Miss,G,73,Senior,13,Kezza Giffa,8,24,393.59,3,25,17,30,0.49425,0.37209,25,2.540714957,0.629,0.762,0.345,0.193,,2.3744111,0.823,0.1001156,0.505,2.4745267,0.745,1.731985291,1.945562535
Texas,G,76,Junior,7,Simeon Wilcher,1,30,586.81,11,36,21,44,0.53642,0.35802,40,2.726606568,0.696,0.706,0.448,0.214,,2.4003412,0.827,1.4173304,0.835,3.8176716,0.856,1.647273975,2.88800432
Missouri,G,75,Junior,0,Anthony Robinson II,19,31,834.9,26,52,48,71,0.45662,0.3,93,4.455623428,0.585,0.433,0.752,0.434,,2.5415105,0.841,2.5330339,0.951,5.0745444,0.931,1.806534806,2.958883441
Arkansas,G,76,Junior,21,D.J. Wagner,19,29,706.11,0,21,28,43,0.50543,0.34409,50,2.832419878,0.66,0.646,0.519,0.227,,3.1556149,0.901,0.86704223,0.709,4.02265713,0.874,1.562103813,3.510866007
Florida,G,77,Sophomore,8,Alex Kovatchev,0,14,43.09,1,1,1,3,0.875,0.14286,4,3.713158505,0.953,0.151,0.161,0.336,,,,,,,,#N/A,#N/A
Auburn,G,77,Sophomore,1,Kevin Overton,29,31,955.12,24,32,36,78,0.58249,0.3815,106,4.439232767,0.749,0.797,0.805,0.43,,3.404489,0.917,0.7169587,0.673,4.1214477,0.88,2.45891266,3.40693487
Mississippi St.,G,72,Junior,12,Josh Hubbard,31,31,1028.69,9,75,39,70,0.49534,0.34962,43,1.672029474,0.632,0.667,0.47,0.121,,4.9018134,0.977,0.70364075,0.67,5.60545415,0.947,1.089726423,1
Georgia,G,75,Junior,3,Jordan Ross,25,30,628.2,15,27,18,62,0.27972,0.325,68,4.329831264,0.353,0.54,0.627,0.416,,1.8710743,0.757,1.1701025,0.779,3.0411768,0.804,2.046189128,2.896101619
